"documentation","operator"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/matches","matches"
"https://help.sumologic.com/Metrics/Metric-Queries-and-Alerts/03Metrics_Operators/topk","topk"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/contains","contains"
"https://help.sumologic.com/Metrics/Metric-Queries-and-Alerts/03Metrics_Operators/quantize","quantize"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/smooth","smooth"
"https://help.sumologic.com/05Search/Search-Query-Language/01-Parse-Operators/01-Parse-Predictable-Patterns-Using-an-Anchor","parse_anchor"
"https://help.sumologic.com/Metrics/Metric-Queries-and-Alerts/03Metrics_Operators/min","min"
"https://help.sumologic.com/05Search/Search-Query-Language/aaGroup/standard-deviation","standard-deviation"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/substring","substring"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/outlier","outlier"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/rollingstd","rollingstd"
"https://help.sumologic.com/05Search/Search-Query-Language/Transaction-Analytics/Transaction-Operator/Flow_Diagrams","transaction"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/Compare","compare"
"https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/sqrt","sqrt"
"https://help.sumologic.com/05Search/Search-Query-Language/Transaction-Analytics/Transactionize-operator","transactionize"
"https://help.sumologic.com/05Search/Search-Query-Language/01-Parse-Operators/parseDate","parseDate"
"https://help.sumologic.com/05Search/Search-Query-Language/aaGroup/sum","sum"
"https://help.sumologic.com/Beta/Lookup_Tables_(Beta)/05_cat_Operator","cat"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/ipv4ToNumber","ipv4ToNumber"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/sort","sort"
"https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/atan","atan"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/queryEndTime()","queryEndTime()"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/length","length"
"https://help.sumologic.com/05Search/Search-Query-Language/01-Parse-Operators/Parse-nodrop-option","nodrop"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/hexToDec","hexToDec"
"https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/abs","abs"
"https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/sinh","sinh"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/urlencode","urlencode"
"https://help.sumologic.com/Metrics/Metric-Queries-and-Alerts/03Metrics_Operators/histogram_quantile","histogram_quantile"
"https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/acos","acos"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/base64Encode","base64Encode"
"https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/limit","limit"
"https://help.sumologic.com/05Search/Search-Query-Language/aaGroup/first-and-last","first-and-last"
"https://help.sumologic.com/Metrics/Metric-Queries-and-Alerts/03Metrics_Operators/delta","delta"
